S/N,NAME ,CATEGORY,SUB CATEGORY,ADDRESS ,PHONE NUMBER,EMAIL ADDRESS,WEBSITE,STATE,KEY,KEYCHAIN=B2+C2 
53,Gozibestate Farms,SALES,Farm Product,"80/82, Titi-Kokori Street, Ikotun",08087425250/08033079388,gozibestatefarms@yahoo.com,www.freewebs.com/gozibestatefarms.com,Lagos,,
54,Haroldpatt & Sons Enterprise,SALES,Farm Product,"53 Apena Street, Ago Okota",08033939680/08055159453,livingstonobasi@gmail.com,www.livingstonobasi.com,Lagos,,
55,Integrity vision Ltd.,SALES,Farm Product,"19, Redeemed Rd, off apajo Sandfill , Port Harcourt",8023388227,kayodetaiwo@yahoo.com,www.integrityvisions.en.ecplaza.net,,,
56,K-Mega Farms ,SALES,Farm Product,"Suite 142 ""A"" Courtyard, Garki Ultra Modern Market, Garki",08092263657/08033856780,,www.kmegafarms.com,Abuja,,
57,K-Mega Farms ,SALES,Farm Product,"Aso-Padama , Off Masaka, Nasarawa",8034705348,,www.kmegafarms.com,Nasarawa,,
58,Ladipo Daniel Farms,SALES,Farm Product,"KM 32, Abeokuta Motor RD, Alagbado, Lagos",01-7746728,,,Lagos,,
59,Mashaun Farms,SALES,Farm Product,"Oke-Gbegun Sawmill Sagamu Road, Ikorodu",8023088585,,,Lagos,,
60,Mirh agric Services,SALES,Farm Product,"Oyedeji Shopping Complex, along Monatan/ Iwo Road, Ibadan",02-8100555,,,Oyo,,
61,Nathson farms & Food Ltd.,SALES,Farm Product,"9,  Adeniyi Adefioye street, Ikate, surulere",01-8377733/01-4807613,,,Lagos,,
62,Notore Industrial Park,SALES,Farm Product,"keystone Bank Building, 1 Bank PHB Crescent, off Adeyemo Alakija Street V/I",70033784537,info@notore.com,www.notore.com,Lagos,,
63,Obasanjo farms,SALES,Farm Product,"KM 5, Idiroko Road, Ota",039-722536(7),,www.obasanjofarms.com,Ogun,,
64,Ola-Farms Ltd.,SALES,Farm Product,"145, Abaranje Road, Ikotun",01-7741322,,,Lagos,,
65,Ozazuam foods,SALES,Farm Product,"Oza Villa, Umuolo quarters, Onicha Ugbo Aniocha North",8035668103/08081140832,ozazuamgroup@gmail.com,,Delta,,
66,Presco Plc,SALES,Farm Product,"KM 22, Benin Sapele Rd, Ikpoba-Okha",023-799230(2),,www.presco-plc.com,Edo,,
67,Regenerate Farms Ltd.,SALES,Farm Product,"22, Apapa Oshodi Expressway",8034092046,,,Lagos,,
68,Saro AgroChemicals,SALES,Farm Product,"2068 blk 18C Festac Access Rd, Amuwo Odofin",01-4702458,,,Lagos,,
69,Slabmark Nig Ltd,SALES,Farm Product,"km 8/9 Old Lagos Road, Podo, Ibadan",081611466688/08177174600,,,Oyo,,
70,Supreme Agro Industrial,SALES,Farm Product,"3A, Queens Brk Rd, Apapa",08035212404/08035214454,,,Lagos,,
71,Syngenta Nig Ltd.,SALES,Farm Product,"387, Agege Motor Road, Mushin",01-7743119,,,Lagos,,
72,Talonagro Nig Ltd.,SALES,Farm Product,"16, Aerodrome Rd, Apapa",01-7747160,talon@talonagro.com,www.talonagro.com,Lagos,,
73,The Biostadt Company,SALES,Farm Product,"381, Agege Motor Road, Cappa, Le Basie platz",08033278409/08036985793,info@biostadtgroup.com,www.biostadtgroup.com,Lagos,,
74,Value seeds Ltd,SALES,Farm Product,"km 7, Zaria Kano Expressway Kuda Jun. Tashan",089-828831,info@valueseedsltd.com,www.valueseedsltd.com,Kaduna,,
75,Vitadamsyl Industries,SALES,Farm Product,"66, Umuebule Rd, Etche",07095067485/07086557633,info@vitadamsyl.com,www.vitadamsyl.com,Rivers,,
76,West Farms Ltd.,SALES,Farm Product,"42, Lekki-Epe Expressway, Aiyeteju, Ibeju-Lekki",01-2705309/01-2705622,info@westfarmsltd.com,www.westfarmsltd.com,Lagos,,
77,Alliance Autos Nig Ltd,SALES,Automobile,"1090 Adeola Odeku Street, VI",07034072030/08057495701/08023121077,,,,,
78,Alliance Autos Nig Ltd,SALES,Automobile,"2 & 4 Amuwo Odofin Industrial Scheme, Apapa Oshodi expressway",,01-8990202/01-8990006,,,,
79,Alliance Autos Nig Ltd,SALES,Automobile,"11, Sapara Williams Street, Off Oba Akran Avenue Ikeja",01-2712836/01-2700689,,,,,
80,Alliance Autos Nig Ltd,SALES,Automobile,"17, Azikwe Rd, Old GRA, Port Harcourt",8057494902,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
